[2022-11-14 23:25:58,636] 0	T_sample 17.15	T_update 4.91	ETA 12:14:56	expert_R_avg 0.3341 [0.3716,0.5172,0.2540,0.2063,0.2327,0.7706]	expert_R_range (0.0493, 0.9644)	eps_len 10.46
[2022-11-14 23:45:15,146] 50	T_sample 18.51	T_update 4.97	ETA 12:42:45	expert_R_avg 0.3303 [0.4450,0.6054,0.1742,0.1231,0.2099,0.5672]	expert_R_range (0.0513, 0.9613)	eps_len 28.33
[2022-11-14 23:45:38,770] 51	T_sample 18.57	T_update 5.01	ETA 12:45:42	expert_R_avg 0.3289 [0.4428,0.6025,0.1730,0.1216,0.2125,0.5657]	expert_R_range (0.0606, 0.9626)	eps_len 28.90
[2022-11-14 23:46:02,349] 52	T_sample 18.58	T_update 4.96	ETA 12:43:51	expert_R_avg 0.3300 [0.4438,0.6022,0.1757,0.1208,0.2125,0.5625]	expert_R_range (0.0562, 0.9656)	eps_len 28.95
[2022-11-14 23:46:25,514] 53	T_sample 18.15	T_update 4.97	ETA 12:30:03	expert_R_avg 0.3277 [0.4421,0.6023,0.1723,0.1199,0.2099,0.5582]	expert_R_range (0.0487, 0.9642)	eps_len 29.92
[2022-11-14 23:46:48,646] 54	T_sample 18.12	T_update 4.97	ETA 12:28:35	expert_R_avg 0.3249 [0.4409,0.5998,0.1676,0.1155,0.2067,0.5531]	expert_R_range (0.0338, 0.9682)	eps_len 30.61
[2022-11-14 23:47:12,050] 55	T_sample 18.35	T_update 5.01	ETA 12:36:58	expert_R_avg 0.3239 [0.4400,0.6003,0.1676,0.1136,0.2035,0.5513]	expert_R_range (0.0405, 0.9672)	eps_len 31.26
[2022-11-14 23:47:35,955] 56	T_sample 18.89	T_update 4.97	ETA 12:52:52	expert_R_avg 0.3238 [0.4409,0.5980,0.1665,0.1141,0.2038,0.5469]	expert_R_range (0.0495, 0.9667)	eps_len 31.50
[2022-11-14 23:47:59,444] 57	T_sample 18.45	T_update 4.99	ETA 12:38:58	expert_R_avg 0.3250 [0.4431,0.5979,0.1680,0.1135,0.2023,0.5428]	expert_R_range (0.0529, 0.9649)	eps_len 31.92
[2022-11-14 23:48:22,893] 58	T_sample 18.41	T_update 5.00	ETA 12:37:19	expert_R_avg 0.3232 [0.4415,0.5977,0.1647,0.1140,0.2033,0.5398]	expert_R_range (0.0544, 0.9617)	eps_len 32.32
[2022-11-14 23:48:46,175] 59	T_sample 18.26	T_update 4.98	ETA 12:31:32	expert_R_avg 0.3242 [0.4419,0.5966,0.1689,0.1120,0.2015,0.5361]	expert_R_range (0.0619, 0.9660)	eps_len 32.72
[2022-11-14 23:49:09,811] 60	T_sample 18.59	T_update 5.00	ETA 12:42:23	expert_R_avg 0.3256 [0.4449,0.5971,0.1694,0.1120,0.2010,0.5318]	expert_R_range (0.0585, 0.9642)	eps_len 33.02
[2022-11-14 23:49:33,277] 61	T_sample 18.44	T_update 4.98	ETA 12:36:42	expert_R_avg 0.3238 [0.4434,0.5963,0.1672,0.1112,0.1998,0.5292]	expert_R_range (0.0551, 0.9636)	eps_len 33.96
[2022-11-14 23:49:57,000] 62	T_sample 18.71	T_update 4.97	ETA 12:44:36	expert_R_avg 0.3194 [0.4391,0.5938,0.1613,0.1066,0.1977,0.5276]	expert_R_range (0.0378, 0.9647)	eps_len 35.03
[2022-11-14 23:50:20,515] 63	T_sample 18.51	T_update 4.96	ETA 12:37:27	expert_R_avg 0.3261 [0.4469,0.5966,0.1703,0.1104,0.1992,0.5230]	expert_R_range (0.0534, 0.9649)	eps_len 34.26
[2022-11-14 23:50:43,951] 64	T_sample 18.42	T_update 4.98	ETA 12:34:33	expert_R_avg 0.3219 [0.4419,0.5924,0.1665,0.1049,0.1971,0.5211]	expert_R_range (0.0502, 0.9650)	eps_len 35.28
[2022-11-14 23:51:07,380] 65	T_sample 18.42	T_update 4.97	ETA 12:33:57	expert_R_avg 0.3235 [0.4447,0.5942,0.1674,0.1046,0.1978,0.5186]	expert_R_range (0.0504, 0.9653)	eps_len 35.48
[2022-11-14 23:51:31,211] 66	T_sample 18.81	T_update 4.99	ETA 12:46:30	expert_R_avg 0.3226 [0.4442,0.5939,0.1664,0.1053,0.1956,0.5160]	expert_R_range (0.0352, 0.9618)	eps_len 36.13
[2022-11-14 23:51:54,650] 67	T_sample 18.41	T_update 4.99	ETA 12:33:31	expert_R_avg 0.3219 [0.4434,0.5918,0.1666,0.1018,0.1957,0.5117]	expert_R_range (0.0483, 0.9640)	eps_len 36.92
[2022-11-14 23:52:17,929] 68	T_sample 18.25	T_update 4.99	ETA 12:27:56	expert_R_avg 0.3217 [0.4440,0.5908,0.1657,0.1043,0.1930,0.5089]	expert_R_range (0.0552, 0.9663)	eps_len 37.40
[2022-11-14 23:52:41,441] 69	T_sample 18.50	T_update 4.98	ETA 12:35:02	expert_R_avg 0.3208 [0.4419,0.5913,0.1665,0.1043,0.1923,0.5090]	expert_R_range (0.0347, 0.9617)	eps_len 38.21
[2022-11-14 23:53:05,255] 70	T_sample 18.76	T_update 5.01	ETA 12:44:08	expert_R_avg 0.3191 [0.4398,0.5890,0.1638,0.1027,0.1954,0.5070]	expert_R_range (0.0406, 0.9608)	eps_len 38.64
[2022-11-14 23:53:28,786] 71	T_sample 18.52	T_update 4.97	ETA 12:34:54	expert_R_avg 0.3191 [0.4407,0.5883,0.1633,0.1023,0.1951,0.5031]	expert_R_range (0.0485, 0.9603)	eps_len 39.30
[2022-11-14 23:53:52,108] 72	T_sample 18.31	T_update 4.97	ETA 12:27:45	expert_R_avg 0.3189 [0.4412,0.5885,0.1627,0.0977,0.1959,0.4998]	expert_R_range (0.0489, 0.9635)	eps_len 39.42
[2022-11-14 23:54:15,693] 73	T_sample 18.55	T_update 5.00	ETA 12:35:50	expert_R_avg 0.3180 [0.4396,0.5856,0.1629,0.0992,0.1950,0.4967]	expert_R_range (0.0310, 0.9656)	eps_len 40.10
[2022-11-14 23:54:38,991] 74	T_sample 18.28	T_update 4.98	ETA 12:26:14	expert_R_avg 0.3189 [0.4414,0.5870,0.1639,0.0990,0.1935,0.4943]	expert_R_range (0.0433, 0.9623)	eps_len 40.25
[2022-11-14 23:55:02,630] 75	T_sample 18.59	T_update 5.01	ETA 12:36:46	expert_R_avg 0.3151 [0.4365,0.5845,0.1606,0.0979,0.1914,0.4934]	expert_R_range (0.0463, 0.9641)	eps_len 41.59
[2022-11-14 23:55:26,661] 76	T_sample 18.98	T_update 5.01	ETA 12:48:54	expert_R_avg 0.3173 [0.4407,0.5858,0.1614,0.0993,0.1900,0.4906]	expert_R_range (0.0498, 0.9622)	eps_len 40.99
[2022-11-14 23:55:50,414] 77	T_sample 18.71	T_update 5.01	ETA 12:39:38	expert_R_avg 0.3164 [0.4394,0.5841,0.1614,0.0975,0.1903,0.4871]	expert_R_range (0.0399, 0.9638)	eps_len 42.24
[2022-11-14 23:56:14,003] 78	T_sample 18.56	T_update 4.99	ETA 12:33:59	expert_R_avg 0.3127 [0.4354,0.5809,0.1563,0.0941,0.1924,0.4847]	expert_R_range (0.0412, 0.9634)	eps_len 43.75
[2022-11-14 23:56:37,685] 79	T_sample 18.65	T_update 4.99	ETA 12:36:34	expert_R_avg 0.3139 [0.4366,0.5818,0.1598,0.0941,0.1876,0.4844]	expert_R_range (0.0382, 0.9640)	eps_len 43.99
[2022-11-14 23:57:01,397] 80	T_sample 18.68	T_update 4.99	ETA 12:36:55	expert_R_avg 0.3146 [0.4381,0.5826,0.1594,0.0934,0.1899,0.4804]	expert_R_range (0.0314, 0.9601)	eps_len 44.18
[2022-11-14 23:57:25,053] 81	T_sample 18.63	T_update 4.98	ETA 12:34:59	expert_R_avg 0.3130 [0.4368,0.5798,0.1565,0.0906,0.1909,0.4809]	expert_R_range (0.0259, 0.9588)	eps_len 44.69
[2022-11-14 23:57:48,465] 82	T_sample 18.38	T_update 4.99	ETA 12:26:45	expert_R_avg 0.3144 [0.4380,0.5829,0.1590,0.0928,0.1913,0.4794]	expert_R_range (0.0460, 0.9566)	eps_len 46.05
[2022-11-14 23:58:12,442] 83	T_sample 18.95	T_update 4.99	ETA 12:44:24	expert_R_avg 0.3145 [0.4388,0.5813,0.1584,0.0916,0.1913,0.4769]	expert_R_range (0.0429, 0.9599)	eps_len 46.02
[2022-11-14 23:58:36,023] 84	T_sample 18.54	T_update 5.00	ETA 12:31:24	expert_R_avg 0.3168 [0.4420,0.5808,0.1605,0.0924,0.1924,0.4754]	expert_R_range (0.0319, 0.9590)	eps_len 45.51
[2022-11-14 23:58:59,703] 85	T_sample 18.64	T_update 5.01	ETA 12:34:09	expert_R_avg 0.3150 [0.4397,0.5825,0.1589,0.0917,0.1915,0.4750]	expert_R_range (0.0199, 0.9592)	eps_len 47.45
[2022-11-14 23:59:23,452] 86	T_sample 18.74	T_update 4.97	ETA 12:35:57	expert_R_avg 0.3153 [0.4393,0.5830,0.1606,0.0919,0.1926,0.4723]	expert_R_range (0.0319, 0.9564)	eps_len 48.11
[2022-11-14 23:59:47,348] 87	T_sample 18.87	T_update 4.99	ETA 12:40:13	expert_R_avg 0.3143 [0.4383,0.5836,0.1591,0.0919,0.1907,0.4743]	expert_R_range (0.0377, 0.9594)	eps_len 48.96
[2022-11-15 00:00:11,002] 88	T_sample 18.64	T_update 4.97	ETA 12:32:06	expert_R_avg 0.3139 [0.4378,0.5823,0.1589,0.0906,0.1934,0.4697]	expert_R_range (0.0442, 0.9605)	eps_len 49.63
[2022-11-15 00:00:34,535] 89	T_sample 18.52	T_update 4.97	ETA 12:27:53	expert_R_avg 0.3139 [0.4385,0.5832,0.1598,0.0896,0.1876,0.4698]	expert_R_range (0.0363, 0.9629)	eps_len 50.60
[2022-11-15 00:00:58,523] 90	T_sample 18.95	T_update 4.99	ETA 12:41:44	expert_R_avg 0.3140 [0.4387,0.5825,0.1596,0.0892,0.1900,0.4669]	expert_R_range (0.0420, 0.9572)	eps_len 51.39
[2022-11-15 00:01:22,522] 91	T_sample 18.95	T_update 5.01	ETA 12:41:52	expert_R_avg 0.3141 [0.4401,0.5808,0.1584,0.0888,0.1909,0.4606]	expert_R_range (0.0368, 0.9609)	eps_len 51.38
[2022-11-15 00:01:46,484] 92	T_sample 18.93	T_update 4.99	ETA 12:40:20	expert_R_avg 0.3147 [0.4410,0.5808,0.1580,0.0884,0.1940,0.4593]	expert_R_range (0.0264, 0.9577)	eps_len 51.85
[2022-11-15 00:02:10,296] 93	T_sample 18.80	T_update 4.98	ETA 12:35:11	expert_R_avg 0.3140 [0.4396,0.5800,0.1593,0.0866,0.1916,0.4592]	expert_R_range (0.0274, 0.9596)	eps_len 52.34
[2022-11-15 00:02:33,992] 94	T_sample 18.67	T_update 4.99	ETA 12:31:06	expert_R_avg 0.3124 [0.4375,0.5794,0.1575,0.0860,0.1922,0.4581]	expert_R_range (0.0313, 0.9597)	eps_len 53.98
[2022-11-15 00:02:57,752] 95	T_sample 18.74	T_update 4.98	ETA 12:32:42	expert_R_avg 0.3142 [0.4395,0.5795,0.1596,0.0866,0.1951,0.4543]	expert_R_range (0.0409, 0.9583)	eps_len 54.40
[2022-11-15 00:03:21,574] 96	T_sample 18.81	T_update 4.98	ETA 12:34:21	expert_R_avg 0.3141 [0.4382,0.5800,0.1604,0.0889,0.1969,0.4547]	expert_R_range (0.0266, 0.9619)	eps_len 55.20
[2022-11-15 00:03:45,522] 97	T_sample 18.92	T_update 4.98	ETA 12:37:54	expert_R_avg 0.3140 [0.4387,0.5811,0.1598,0.0888,0.1947,0.4559]	expert_R_range (0.0379, 0.9592)	eps_len 56.70
[2022-11-15 00:04:09,118] 98	T_sample 18.58	T_update 4.97	ETA 12:26:22	expert_R_avg 0.3154 [0.4406,0.5819,0.1616,0.0852,0.1970,0.4535]	expert_R_range (0.0415, 0.9576)	eps_len 55.74
[2022-11-15 00:04:33,248] 99	T_sample 19.10	T_update 4.99	ETA 12:42:53	expert_R_avg 0.3169 [0.4433,0.5818,0.1623,0.0894,0.1976,0.4469]	expert_R_range (0.0460, 0.9569)	eps_len 56.65
[2022-11-15 00:04:56,795] 100	T_sample 18.49	T_update 5.01	ETA 12:23:46	expert_R_avg 0.3151 [0.4403,0.5848,0.1622,0.0850,0.1940,0.4531]	expert_R_range (0.0323, 0.9571)	eps_len 57.86
[2022-11-15 00:05:20,576] 101	T_sample 18.76	T_update 4.99	ETA 12:31:03	expert_R_avg 0.3152 [0.4411,0.5820,0.1614,0.0852,0.1960,0.4473]	expert_R_range (0.0289, 0.9530)	eps_len 58.52
[2022-11-15 00:05:43,807] 102	T_sample 18.23	T_update 4.97	ETA 12:13:16	expert_R_avg 0.3142 [0.4391,0.5802,0.1614,0.0864,0.1984,0.4414]	expert_R_range (0.0341, 0.9619)	eps_len 59.24
[2022-11-15 00:06:07,441] 103	T_sample 18.61	T_update 4.99	ETA 12:25:38	expert_R_avg 0.3169 [0.4422,0.5821,0.1658,0.0853,0.1981,0.4401]	expert_R_range (0.0180, 0.9527)	eps_len 59.35
[2022-11-15 00:06:30,835] 104	T_sample 18.37	T_update 4.99	ETA 12:17:38	expert_R_avg 0.3170 [0.4427,0.5816,0.1648,0.0841,0.2005,0.4385]	expert_R_range (0.0401, 0.9575)	eps_len 60.38
[2022-11-15 00:06:54,564] 105	T_sample 18.72	T_update 4.97	ETA 12:27:48	expert_R_avg 0.3173 [0.4428,0.5827,0.1657,0.0862,0.2004,0.4369]	expert_R_range (0.0371, 0.9574)	eps_len 61.46
[2022-11-15 00:07:18,215] 106	T_sample 18.60	T_update 5.01	ETA 12:24:54	expert_R_avg 0.3183 [0.4437,0.5861,0.1674,0.0872,0.1999,0.4373]	expert_R_range (0.0277, 0.9554)	eps_len 62.52
[2022-11-15 00:07:41,932] 107	T_sample 18.70	T_update 4.98	ETA 12:26:38	expert_R_avg 0.3205 [0.4454,0.5870,0.1713,0.0864,0.2033,0.4354]	expert_R_range (0.0386, 0.9573)	eps_len 62.58
[2022-11-15 00:08:05,588] 108	T_sample 18.64	T_update 4.98	ETA 12:24:20	expert_R_avg 0.3200 [0.4442,0.5867,0.1710,0.0875,0.2042,0.4357]	expert_R_range (0.0384, 0.9588)	eps_len 63.93
[2022-11-15 00:08:29,082] 109	T_sample 18.47	T_update 4.98	ETA 12:18:52	expert_R_avg 0.3242 [0.4489,0.5878,0.1783,0.0881,0.2037,0.4299]	expert_R_range (0.0493, 0.9558)	eps_len 62.67
[2022-11-15 00:08:52,876] 110	T_sample 18.76	T_update 4.99	ETA 12:27:42	expert_R_avg 0.3224 [0.4473,0.5879,0.1752,0.0896,0.2008,0.4334]	expert_R_range (0.0425, 0.9525)	eps_len 64.33
[2022-11-15 00:09:16,740] 111	T_sample 18.83	T_update 4.99	ETA 12:29:40	expert_R_avg 0.3216 [0.4473,0.5896,0.1724,0.0882,0.2020,0.4325]	expert_R_range (0.0354, 0.9604)	eps_len 65.88
[2022-11-15 00:09:40,136] 112	T_sample 18.37	T_update 4.99	ETA 12:14:36	expert_R_avg 0.3262 [0.4498,0.5902,0.1846,0.0914,0.1987,0.4302]	expert_R_range (0.0309, 0.9582)	eps_len 65.74
[2022-11-15 00:10:03,915] 113	T_sample 18.76	T_update 4.98	ETA 12:26:12	expert_R_avg 0.3250 [0.4495,0.5858,0.1815,0.0900,0.2006,0.4252]	expert_R_range (0.0283, 0.9546)	eps_len 65.14
[2022-11-15 00:10:27,681] 114	T_sample 18.74	T_update 4.99	ETA 12:25:27	expert_R_avg 0.3248 [0.4490,0.5859,0.1807,0.0895,0.2053,0.4212]	expert_R_range (0.0308, 0.9550)	eps_len 66.40
[2022-11-15 00:10:51,361] 115	T_sample 18.63	T_update 5.01	ETA 12:22:19	expert_R_avg 0.3273 [0.4512,0.5876,0.1857,0.0906,0.2025,0.4239]	expert_R_range (0.0256, 0.9575)	eps_len 66.48
